query,category,expected_mode,expected_citations,difficulty,metadata
안녕하세요,일반 대화,chat,False,easy,{}
1 + 1은?,일반 대화,chat,False,easy,{}
최새름 작성 문서 요약해줘,작성자 검색,rag,True,medium,"{""drafter"": ""최새름"", ""expected_count"": 59}"
유인혁 작성 문서 요약해줘,작성자 검색,rag,True,medium,"{""drafter"": ""유인혁"", ""expected_count"": 29}"
남준수 작성 문서 요약해줘,작성자 검색,rag,True,medium,"{""drafter"": ""남준수"", ""expected_count"": 5}"
2025년 작성된 문서 리스트,연도별 검색,rag,True,medium,"{""year"": ""2025"", ""expected_count"": 20}"
2024년 작성된 문서 리스트,연도별 검색,rag,True,medium,"{""year"": ""2024"", ""expected_count"": 21}"
2023년 작성된 문서 리스트,연도별 검색,rag,True,medium,"{""year"": ""2023"", ""expected_count"": 33}"
돌직구쇼 백업 무선마이크 구매 건 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-09-11_돌직구쇼_백업_무선마이크_구매_건.pdf""}"
방송 프로그램 제작용 건전지 소모품 구매의 건 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-09-04_방송_프로그램_제작용_건전지_소모품_구매의_건.pdf""}"
뷰파인더 소모품 케이블 구매 건 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-08-26_뷰파인더_소모품_케이블_구매_건.pdf""}"
중계 DI BOX 도입 건 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-08-05_중계_DI_BOX_도입_건.pdf""}"
중계차 카메라 렌즈 오버홀 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-08-01_중계차_카메라_렌즈_오버홀.pdf""}"
미러클랩 카메라 삼각대 기술검토서 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-07-17_미러클랩_카메라_삼각대_기술검토서.pdf""}"
광화문 무선 마이크 노후화 및 단종으로 인한 장비 교체 건 1 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-07-04_광화문_무선_마이크_노후화_및_단종으로_인한_장비_교체_건_1.pdf""}"
광화문 무선 마이크 노후화 및 단종으로 인한 장비 교체 건 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-07-04_광화문_무선_마이크_노후화_및_단종으로_인한_장비_교체_건.pdf""}"
광화문 사옥 방송 소모품 구매 건 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-06-24_광화문_사옥_방송_소모품_구매_건.pdf""}"
방송 프로그램 제작용 건전지 소모품 구매의 건 관련 문서 요약해줘,문서 요약,rag,True,medium,"{""filename"": ""2025-06-23_방송_프로그램_제작용_건전지_소모품_구매의_건.pdf""}"
APEX 중계 동시통역 라우팅 정확한 연결 도면?,무근거 방지,chat,False,hard,{}
존재하지_않는_장비_12345의 구매 이력은?,무근거 방지,chat,False,hard,{}
